tname	rgenename	tgenename
Fat body	CrzR	Atf3,CG16779,Cnot4,Dr,ERR,foxo,Hnf4,Hr78,kay,sqz,SREBP,Trf2,vri,vvl,Xbp1
Fat body	Dh31-R	al,Atf3,bs,BtbVII,Cf2,cg,CHES-1-like,CrebA,CrebB,da,Dbx,Dif,E2f1,ERR,fkh,FoxK,foxo,ftz-f1,GATAe,Hsf,hth,jim,kay,Mef2,Mondo,Myc,NFAT,NK7.1,pdm2,Ptx1,Rel,srp,svp,Tet,Trf2,vnd,vri,Xbp1
Fat body	Dh44-R1	al,CG4328,CG5245,Dbx,E2f2,eve,fd59A,FoxP,GATAe,kay,ken,Med,pdm2,PHDP,Scr,slou,SREBP,Trf2,Vsx2,Zif
Fat body	Dh44-R2	Atf3,Cf2,CHES-1-like,Cnot4,CrebA,Dif,fkh,foxo,GATAe,kay,Mef2,Mondo,Myc,pan,Rfx,Stat92E,Tet,Trf2
Fat body	ETHR	Abl,al,Antp,bs,CG16779,CG4328,Dbx,ftz-f1,GATAe,H15,kay,ken,onecut,Pbp95,pdm2,Poxm,Scr,slbo,slou,sv,trx,tup,vri,Vsx1,Vsx2
Fat body	FMRFaR	bin,croc,Hand,Kah,Mef2,pan,sr,tup
Fat body	Gyc76C	Abl,BtbVII,Cf2,CHES-1-like,ci,CrebB,cwo,E2f1,foxo,ftz-f1,Hnf4,jim,Mef2,pho,Sox14,Stat92E,Trf2
Fat body	InR	Abd-B,Abl,Atf3,Atf6,Blimp-1,BtbVII,Cf2,CHES-1-like,crc,CrebA,CrebB,Dif,Dref,E2f1,Eip74EF,ERR,foxo,ftz-f1,Hnf4,jim,kay,Mef2,Mnt,Mondo,Myc,pan,pnt,Rel,Rfx,slou,Sox102F,Sox14,srp,Tet,Trf2,trx,vri,Xbp1
Fat body	Lgr1	byn,cg,E2f2
Fat body	Lgr3	cg,da,Dref,E2f2,ftz-f1,HLH3B,Hsf,kay,ken,maf-S,Scr,tgo,Trf2,vri,Zif
